Type,ProductId,Changes,,,Timestamp
l2update,BTC-USD,[['buy', '19220.23', '0.07784061']],2023-01-13T15:27:42.273153Z
l2update,BTC-USD,[['buy', '19223.09', '0.03426098']],2023-01-13T15:27:42.273269Z
l2update,BTC-USD,[['buy', '19221.29', '0.05000000']],2023-01-13T15:27:42.273412Z
l2update,BTC-USD,[['sell', '19244.48', '0.00000000']],2023-01-13T15:27:42.275518Z
l2update,BTC-USD,[['sell', '19226.61', '0.01000000']],2023-01-13T15:27:42.275661Z
l2update,BTC-USD,[['buy', '19223.08', '0.02000000']],2023-01-13T15:27:42.277166Z
l2update,BTC-USD,[['sell', '19230.88', '0.00000000']],2023-01-13T15:27:42.280640Z
l2update,BTC-USD,[['buy', '19221.30', '0.13230658']],2023-01-13T15:27:42.284692Z
l2update,BTC-USD,[['buy', '19221.20', '0.05000000']],2023-01-13T15:27:42.284868Z
l2update,BTC-USD,[['sell', '19240.71', '2.59865798']],2023-01-13T15:27:42.288506Z
l2update,BTC-USD,[['buy', '19221.20', '0.00000000']],2023-01-13T15:27:42.290130Z
l2update,BTC-USD,[['sell', '19227.97', '0.00000000']],2023-01-13T15:27:42.300809Z
l2update,BTC-USD,[['sell', '19241.56', '0.00000000']],2023-01-13T15:27:42.301391Z
l2update,BTC-USD,[['buy', '19221.28', '0.00000000']],2023-01-13T15:27:42.301979Z
l2update,BTC-USD,[['buy', '19223.09', '0.00000000']],2023-01-13T15:27:42.303858Z
l2update,BTC-USD,[['buy', '19222.64', '0.06674667']],2023-01-13T15:27:42.305511Z
l2update,BTC-USD,[['buy', '19222.64', '0.09275453']],2023-01-13T15:27:42.305569Z
l2update,BTC-USD,[['buy', '19223.62', '0.00000000']],2023-01-13T15:27:42.308708Z
l2update,BTC-USD,[['buy', '19221.31', '0.05000000']],2023-01-13T15:27:42.313482Z
l2update,BTC-USD,[['buy', '19223.04', '0.03400888']],2023-01-13T15:27:42.313501Z
l2update,BTC-USD,[['buy', '19223.59', '0.00000000']],2023-01-13T15:27:42.315095Z
l2update,BTC-USD,[['buy', '19221.29', '0.00000000']],2023-01-13T15:27:42.319354Z
l2update,BTC-USD,[['buy', '19223.09', '0.01000000']],2023-01-13T15:27:42.321130Z
l2update,BTC-USD,[['sell', '19226.83', '0.04958294']],2023-01-13T15:27:42.321144Z
l2update,BTC-USD,[['buy', '19223.07', '0.00000000']],2023-01-13T15:27:42.324478Z
l2update,BTC-USD,[['buy', '19223.14', '0.03484951']],2023-01-13T15:27:42.325877Z
l2update,BTC-USD,[['sell', '19229.72', '0.09121347']],2023-01-13T15:27:42.329395Z
l2update,BTC-USD,[['sell', '19228.57', '0.01377248']],2023-01-13T15:27:42.329915Z
l2update,BTC-USD,[['sell', '19226.57', '0.05788247']],2023-01-13T15:27:42.330019Z
l2update,BTC-USD,[['buy', '19222.68', '0.04299316']],2023-01-13T15:27:42.330027Z
l2update,BTC-USD,[['buy', '19223.08', '0.00000000']],2023-01-13T15:27:42.331200Z
l2update,BTC-USD,[['sell', '19226.57', '0.00000000']],2023-01-13T15:27:42.334069Z
l2update,BTC-USD,[['sell', '19226.60', '0.21000000']],2023-01-13T15:27:42.335410Z
l2update,BTC-USD,[['sell', '19226.83', '0.00000000']],2023-01-13T15:27:42.336006Z
l2update,BTC-USD,[['buy', '19223.04', '0.05400888']],2023-01-13T15:27:42.339360Z
l2update,BTC-USD,[['buy', '19223.10', '0.06455484']],2023-01-13T15:27:42.343103Z
l2update,BTC-USD,[['sell', '19226.57', '0.04000000']],2023-01-13T15:27:42.343200Z
l2update,BTC-USD,[['buy', '19221.31', '0.00000000']],2023-01-13T15:27:42.344253Z
l2update,BTC-USD,[['sell', '19229.32', '0.09226986']],2023-01-13T15:27:42.347337Z
l2update,BTC-USD,[['sell', '19226.81', '0.04680443']],2023-01-13T15:27:42.347430Z
l2update,BTC-USD,[['buy', '19220.97', '0.00000000']],2023-01-13T15:27:42.352771Z
l2update,BTC-USD,[['buy', '19221.30', '0.00000000']],2023-01-13T15:27:42.353388Z
l2update,BTC-USD,[['buy', '19224.30', '0.00000000']],2023-01-13T15:27:42.362951Z
l2update,BTC-USD,[['buy', '19223.61', '0.00000000']],2023-01-13T15:27:42.362951Z
l2update,BTC-USD,[['buy', '19223.60', '0.00000000']],2023-01-13T15:27:42.362951Z
l2update,BTC-USD,[['buy', '19223.14', '0.00000000']],2023-01-13T15:27:42.362951Z
l2update,BTC-USD,[['buy', '19223.10', '0.00000000']],2023-01-13T15:27:42.362951Z
l2update,BTC-USD,[['buy', '19223.09', '0.00000000']],2023-01-13T15:27:42.362951Z
l2update,BTC-USD,[['buy', '19223.04', '0.02000000']],2023-01-13T15:27:42.362951Z
l2update,BTC-USD,[['buy', '19223.04', '0.00000000']],2023-01-13T15:27:42.362951Z
l2update,BTC-USD,[['buy', '19223.03', '0.00000000']],2023-01-13T15:27:42.362951Z
l2update,BTC-USD,[['buy', '19222.95', '0.00000000']],2023-01-13T15:27:42.362951Z
l2update,BTC-USD,[['buy', '19222.68', '0.00000000']],2023-01-13T15:27:42.362951Z
l2update,BTC-USD,[['buy', '19222.64', '0.05201572']],2023-01-13T15:27:42.362951Z
l2update,BTC-USD,[['buy', '19222.64', '0.02600786']],2023-01-13T15:27:42.362951Z
l2update,BTC-USD,[['buy', '19222.64', '0.00000000']],2023-01-13T15:27:42.362951Z
l2update,BTC-USD,[['buy', '19222.60', '0.00000000']],2023-01-13T15:27:42.362951Z
l2update,BTC-USD,[['buy', '19222.59', '0.00000000']],2023-01-13T15:27:42.362951Z
l2update,BTC-USD,[['buy', '19222.35', '0.02473783']],2023-01-13T15:27:42.362951Z
l2update,BTC-USD,[['buy', '19223.63', '0.01227509']],2023-01-13T15:27:42.366561Z
l2update,BTC-USD,[['buy', '19220.23', '0.00000000']],2023-01-13T15:27:42.369315Z
l2update,BTC-USD,[['sell', '19227.40', '0.00000000']],2023-01-13T15:27:42.369736Z
l2update,BTC-USD,[['buy', '19220.16', '0.01085163']],2023-01-13T15:27:42.370141Z
l2update,BTC-USD,[['sell', '19234.01', '3.50569876']],2023-01-13T15:27:42.370792Z
l2update,BTC-USD,[['buy', '19221.27', '0.00000000']],2023-01-13T15:27:42.371167Z
l2update,BTC-USD,[['buy', '19221.21', '0.00000000']],2023-01-13T15:27:42.371167Z
l2update,BTC-USD,[['sell', '19230.12', '0.00848223']],2023-01-13T15:27:42.373427Z
l2update,BTC-USD,[['sell', '19230.02', '0.00000000']],2023-01-13T15:27:42.373427Z
l2update,BTC-USD,[['sell', '19228.11', '0.02937411']],2023-01-13T15:27:42.374896Z
l2update,BTC-USD,[['sell', '19226.56', '0.05890709']],2023-01-13T15:27:42.374907Z
l2update,BTC-USD,[['sell', '19226.59', '0.02053082']],2023-01-13T15:27:42.375076Z
