Type,ProductId,Changes,,,Timestamp
l2update,BTC-USD,[['sell', '18211.18', '0.02745719']],2023-01-12T04:39:06.066871Z
l2update,BTC-USD,[['sell', '18210.90', '0.05000000']],2023-01-12T04:39:06.069837Z
l2update,BTC-USD,[['sell', '18210.94', '0.03000000']],2023-01-12T04:39:06.069913Z
l2update,BTC-USD,[['sell', '18211.18', '0.05491407']],2023-01-12T04:39:06.078077Z
l2update,BTC-USD,[['sell', '18210.05', '0.04006042']],2023-01-12T04:39:06.131434Z
l2update,BTC-USD,[['buy', '18209.15', '0.04921688']],2023-01-12T04:39:06.142875Z
l2update,BTC-USD,[['buy', '18210.04', '0.34416006']],2023-01-12T04:39:06.150103Z
l2update,BTC-USD,[['sell', '18211.55', '0.03598566']],2023-01-12T04:39:06.184108Z
l2update,BTC-USD,[['sell', '18210.92', '0.00000000']],2023-01-12T04:39:06.189302Z
l2update,BTC-USD,[['sell', '18210.05', '0.03462347']],2023-01-12T04:39:06.259452Z
l2update,BTC-USD,[['sell', '18211.55', '0.00000000']],2023-01-12T04:39:06.263934Z
l2update,BTC-USD,[['sell', '18211.63', '0.00000000']],2023-01-12T04:39:06.263934Z
l2update,BTC-USD,[['sell', '18211.69', '0.00000000']],2023-01-12T04:39:06.264085Z
l2update,BTC-USD,[['buy', '18209.15', '0.00000000']],2023-01-12T04:39:06.266616Z
l2update,BTC-USD,[['buy', '18209.16', '0.04000000']],2023-01-12T04:39:06.271354Z
l2update,BTC-USD,[['buy', '18210.04', '0.36041688']],2023-01-12T04:39:06.275542Z
l2update,BTC-USD,[['sell', '18216.18', '0.00000000']],2023-01-12T04:39:06.277515Z
l2update,BTC-USD,[['buy', '18206.80', '0.00000000']],2023-01-12T04:39:06.284791Z
l2update,BTC-USD,[['buy', '18207.30', '0.32900000']],2023-01-12T04:39:06.295307Z
l2update,BTC-USD,[['sell', '18212.48', '0.00000000']],2023-01-12T04:39:06.297911Z
l2update,BTC-USD,[['sell', '18212.98', '0.32800000']],2023-01-12T04:39:06.307003Z
l2update,BTC-USD,[['sell', '18211.70', '2.00000000']],2023-01-12T04:39:06.319273Z
l2update,BTC-USD,[['sell', '18211.78', '0.00000000']],2023-01-12T04:39:06.345990Z
l2update,BTC-USD,[['sell', '18211.75', '0.10860470']],2023-01-12T04:39:06.377521Z
l2update,BTC-USD,[['sell', '18211.61', '0.03269890']],2023-01-12T04:39:06.385370Z
l2update,BTC-USD,[['sell', '18211.59', '0.04112447']],2023-01-12T04:39:06.426999Z
l2update,BTC-USD,[['sell', '18210.05', '0.08163347']],2023-01-12T04:39:06.458566Z
l2update,BTC-USD,[['sell', '18211.58', '0.04000000']],2023-01-12T04:39:06.458732Z
l2update,BTC-USD,[['sell', '18211.18', '0.02745719']],2023-01-12T04:39:06.462396Z
l2update,BTC-USD,[['sell', '18210.95', '0.15613503']],2023-01-12T04:39:06.470490Z
l2update,BTC-USD,[['buy', '18209.16', '0.00000000']],2023-01-12T04:39:06.471342Z
l2update,BTC-USD,[['sell', '18211.57', '0.04497856']],2023-01-12T04:39:06.474355Z
l2update,BTC-USD,[['sell', '18210.05', '0.03462347']],2023-01-12T04:39:06.514602Z
