ticker,53023191314,BTC-USD,18140.56,17449.43,37300.42939077,17315.08,18375.68,636167.82599961,18139.40,0.00424274,18140.57,0.72434932,buy,2023-01-12T08:56:38.377766Z,482016685,0.14024193,
type,sequence,product_id,price,open_24h,volume_24h,low_24h,high_24h,volume_30d,best_bid,best_bid_size,best_ask,best_ask_size,side,time,trade_id,last_size,
ticker,53023191316,BTC-USD,18140.57,17449.43,37301.15374009,17315.08,18375.68,636168.55034893,18139.40,0.00424274,18140.73,0.04000000,buy,2023-01-12T08:56:38.377766Z,482016686,0.72434932,
type,sequence,product_id,price,open_24h,volume_24h,low_24h,high_24h,volume_30d,best_bid,best_bid_size,best_ask,best_ask_size,side,time,trade_id,last_size,
ticker,53023191318,BTC-USD,18140.73,17449.43,37301.19374009,17315.08,18375.68,636168.59034893,18139.40,0.00424274,18140.90,0.01873948,buy,2023-01-12T08:56:38.377766Z,482016687,0.04,
type,sequence,product_id,price,open_24h,volume_24h,low_24h,high_24h,volume_30d,best_bid,best_bid_size,best_ask,best_ask_size,side,time,trade_id,last_size,
ticker,53023191320,BTC-USD,18140.9,17449.43,37301.21247957,17315.08,18375.68,636168.60908841,18139.40,0.00424274,18140.91,0.64000000,buy,2023-01-12T08:56:38.377766Z,482016688,0.01873948,
type,sequence,product_id,price,open_24h,volume_24h,low_24h,high_24h,volume_30d,best_bid,best_bid_size,best_ask,best_ask_size,side,time,trade_id,last_size,
ticker,53023191322,BTC-USD,18140.91,17449.43,37301.42405357,17315.08,18375.68,636168.82066241,18139.40,0.00424274,18140.91,0.42842600,buy,2023-01-12T08:56:38.377766Z,482016689,0.211574,
type,sequence,product_id,price,open_24h,volume_24h,low_24h,high_24h,volume_30d,best_bid,best_bid_size,best_ask,best_ask_size,side,time,trade_id,last_size,
ticker,53023191399,BTC-USD,18140.91,17449.43,37301.85247957,17315.08,18375.68,636169.24908841,18139.40,1.64356860,18141.21,0.07800000,buy,2023-01-12T08:56:38.388275Z,482016690,0.428426,
type,sequence,product_id,price,open_24h,volume_24h,low_24h,high_24h,volume_30d,best_bid,best_bid_size,best_ask,best_ask_size,side,time,trade_id,last_size,
ticker,53023191405,BTC-USD,18141.21,17449.43,37301.93047957,17315.08,18375.68,636169.32708841,18139.40,1.64356860,18141.53,0.01900308,buy,2023-01-12T08:56:38.388355Z,482016691,0.078,
type,sequence,product_id,price,open_24h,volume_24h,low_24h,high_24h,volume_30d,best_bid,best_bid_size,best_ask,best_ask_size,side,time,trade_id,last_size,
ticker,53023191407,BTC-USD,18141.53,17449.43,37301.94948265,17315.08,18375.68,636169.34609149,18139.40,1.64356860,18141.54,1.14800000,buy,2023-01-12T08:56:38.388355Z,482016692,0.01900308,
type,sequence,product_id,price,open_24h,volume_24h,low_24h,high_24h,volume_30d,best_bid,best_bid_size,best_ask,best_ask_size,side,time,trade_id,last_size,
ticker,53023191409,BTC-USD,18141.54,17449.43,37303.09748265,17315.08,18375.68,636170.49409149,18139.40,1.64356860,18141.62,0.32000000,buy,2023-01-12T08:56:38.388355Z,482016693,1.148,
type,sequence,product_id,price,open_24h,volume_24h,low_24h,high_24h,volume_30d,best_bid,best_bid_size,best_ask,best_ask_size,side,time,trade_id,last_size,
ticker,53023191411,BTC-USD,18141.62,17449.43,37303.41748265,17315.08,18375.68,636170.81409149,18139.40,1.64356860,18141.79,0.41341035,buy,2023-01-12T08:56:38.388355Z,482016694,0.32,
type,sequence,product_id,price,open_24h,volume_24h,low_24h,high_24h,volume_30d,best_bid,best_bid_size,best_ask,best_ask_size,side,time,trade_id,last_size,
ticker,53023191417,BTC-USD,18141.79,17449.43,37303.83089300,17315.08,18375.68,636171.22750184,18139.40,1.64356860,18142.90,0.50000000,buy,2023-01-12T08:56:38.388437Z,482016695,0.41341035,
type,sequence,product_id,price,open_24h,volume_24h,low_24h,high_24h,volume_30d,best_bid,best_bid_size,best_ask,best_ask_size,side,time,trade_id,last_size,
ticker,53023191423,BTC-USD,18142.9,17449.43,37304.33089300,17315.08,18375.68,636171.72750184,18139.40,1.64356860,18142.95,0.35525931,buy,2023-01-12T08:56:38.388534Z,482016696,0.5,
type,sequence,product_id,price,open_24h,volume_24h,low_24h,high_24h,volume_30d,best_bid,best_bid_size,best_ask,best_ask_size,side,time,trade_id,last_size,
ticker,53023191425,BTC-USD,18142.95,17449.43,37304.68615231,17315.08,18375.68,636172.08276115,18139.40,1.64356860,18143.02,0.34373826,buy,2023-01-12T08:56:38.388534Z,482016697,0.35525931,
type,sequence,product_id,price,open_24h,volume_24h,low_24h,high_24h,volume_30d,best_bid,best_bid_size,best_ask,best_ask_size,side,time,trade_id,last_size,
ticker,53023191427,BTC-USD,18143.02,17449.43,37305.02989057,17315.08,18375.68,636172.42649941,18139.40,1.64356860,18144.62,0.73069519,buy,2023-01-12T08:56:38.388534Z,482016698,0.34373826,
type,sequence,product_id,price,open_24h,volume_24h,low_24h,high_24h,volume_30d,best_bid,best_bid_size,best_ask,best_ask_size,side,time,trade_id,last_size,
ticker,53023191731,BTC-USD,18141.93,17449.43,37305.03848818,17315.08,18375.68,636172.43509702,18141.48,0.09334927,18141.93,0.06140239,buy,2023-01-12T08:56:38.439510Z,482016699,0.00859761,
type,sequence,product_id,price,open_24h,volume_24h,low_24h,high_24h,volume_30d,best_bid,best_bid_size,best_ask,best_ask_size,side,time,trade_id,last_size,
ticker,53023191877,BTC-USD,18144.41,17449.43,37305.07180394,17315.08,18375.68,636172.46841278,18141.48,0.09334927,18144.41,0.01971166,buy,2023-01-12T08:56:38.594634Z,482016700,0.03331576,
