Type,ProductId,Changes,,,Timestamp
l2update,BTC-USD,[['buy', '21158.61', '0.00022114']],2023-01-17T16:36:25.227826Z
l2update,BTC-USD,[['buy', '21158.61', '0.00000000']],2023-01-17T16:36:25.228548Z
l2update,BTC-USD,[['buy', '21158.77', '0.00062262']],2023-01-17T16:36:25.229350Z
l2update,BTC-USD,[['buy', '21160.37', '0.02362748']],2023-01-17T16:36:25.229415Z
l2update,BTC-USD,[['sell', '21165.12', '0.03190536']],2023-01-17T16:36:25.229466Z
l2update,BTC-USD,[['sell', '21162.52', '0.00400000']],2023-01-17T16:36:25.231031Z
l2update,BTC-USD,[['buy', '21158.75', '0.00000000']],2023-01-17T16:36:25.231793Z
l2update,BTC-USD,[['buy', '21158.76', '0.00000000']],2023-01-17T16:36:25.232150Z
l2update,BTC-USD,[['buy', '21158.77', '0.00096858']],2023-01-17T16:36:25.233285Z
l2update,BTC-USD,[['buy', '21158.77', '0.00178843']],2023-01-17T16:36:25.233333Z
l2update,BTC-USD,[['sell', '21165.12', '0.04865817']],2023-01-17T16:36:25.233394Z
l2update,BTC-USD,[['sell', '21239.23', '0.07521196']],2023-01-17T16:36:25.233599Z
l2update,BTC-USD,[['buy', '21101.22', '0.15334627']],2023-01-17T16:36:25.233599Z
l2update,BTC-USD,[['sell', '21165.11', '0.00000000']],2023-01-17T16:36:25.235341Z
l2update,BTC-USD,[['sell', '21165.10', '0.00000000']],2023-01-17T16:36:25.235420Z
l2update,BTC-USD,[['sell', '21277.28', '0.00000000']],2023-01-17T16:36:25.236309Z
l2update,BTC-USD,[['buy', '21070.34', '0.00000000']],2023-01-17T16:36:25.236309Z
l2update,BTC-USD,[['buy', '21158.77', '0.00116581']],2023-01-17T16:36:25.236386Z
l2update,BTC-USD,[['buy', '21158.77', '0.00130648']],2023-01-17T16:36:25.238486Z
l2update,BTC-USD,[['sell', '21165.11', '0.01676852']],2023-01-17T16:36:25.238535Z
l2update,BTC-USD,[['sell', '21165.12', '0.03190536']],2023-01-17T16:36:25.239142Z
l2update,BTC-USD,[['sell', '21162.52', '0.00800000']],2023-01-17T16:36:25.242587Z
l2update,BTC-USD,[['buy', '21158.73', '0.00013826']],2023-01-17T16:36:25.242622Z
l2update,BTC-USD,[['sell', '21162.52', '0.00781286']],2023-01-17T16:36:25.242633Z
l2update,BTC-USD,[['buy', '21158.76', '0.00041073']],2023-01-17T16:36:25.242641Z
l2update,BTC-USD,[['sell', '21165.11', '0.00000000']],2023-01-17T16:36:25.243203Z
l2update,BTC-USD,[['sell', '21165.12', '0.02049687']],2023-01-17T16:36:25.245678Z
l2update,BTC-USD,[['sell', '21165.12', '0.00000000']],2023-01-17T16:36:25.246172Z
l2update,BTC-USD,[['buy', '21158.73', '0.00110281']],2023-01-17T16:36:25.246518Z
l2update,BTC-USD,[['sell', '21165.08', '0.02432909']],2023-01-17T16:36:25.246579Z
l2update,BTC-USD,[['sell', '21248.03', '0.09203311']],2023-01-17T16:36:25.246662Z
l2update,BTC-USD,[['sell', '21242.11', '0.06509849']],2023-01-17T16:36:25.246662Z
l2update,BTC-USD,[['buy', '21093.42', '0.09203311']],2023-01-17T16:36:25.246662Z
l2update,BTC-USD,[['buy', '21101.22', '0.23146446']],2023-01-17T16:36:25.246662Z
l2update,BTC-USD,[['buy', '21158.77', '0.00096052']],2023-01-17T16:36:25.247889Z
l2update,BTC-USD,[['sell', '21162.52', '0.00400000']],2023-01-17T16:36:25.247905Z
l2update,BTC-USD,[['buy', '21158.77', '0.00081985']],2023-01-17T16:36:25.247938Z
l2update,BTC-USD,[['buy', '21158.77', '0.00000000']],2023-01-17T16:36:25.248882Z
l2update,BTC-USD,[['sell', '21165.15', '0.01216454']],2023-01-17T16:36:25.254891Z
l2update,BTC-USD,[['sell', '21165.10', '0.03157141']],2023-01-17T16:36:25.254935Z
l2update,BTC-USD,[['buy', '21158.80', '0.00034604']],2023-01-17T16:36:25.255401Z
l2update,BTC-USD,[['sell', '21267.05', '0.10120311']],2023-01-17T16:36:25.259177Z
l2update,BTC-USD,[['buy', '21076.42', '0.10120311']],2023-01-17T16:36:25.259177Z
l2update,BTC-USD,[['sell', '21165.20', '0.04012264']],2023-01-17T16:36:25.259201Z
l2update,BTC-USD,[['buy', '21158.80', '0.00000000']],2023-01-17T16:36:25.260077Z
l2update,BTC-USD,[['sell', '21165.10', '0.00000000']],2023-01-17T16:36:25.260259Z
l2update,BTC-USD,[['buy', '21110.90', '0.00000000']],2023-01-17T16:36:25.262075Z
l2update,BTC-USD,[['sell', '21165.14', '0.02006132']],2023-01-17T16:36:25.262600Z
l2update,BTC-USD,[['sell', '21165.15', '0.04639000']],2023-01-17T16:36:25.262646Z
l2update,BTC-USD,[['buy', '21158.80', '0.00073332']],2023-01-17T16:36:25.262665Z
l2update,BTC-USD,[['buy', '21158.85', '0.00119292']],2023-01-17T16:36:25.262680Z
l2update,BTC-USD,[['sell', '21165.08', '0.00000000']],2023-01-17T16:36:25.265175Z
l2update,BTC-USD,[['buy', '21158.76', '0.00000000']],2023-01-17T16:36:25.265680Z
l2update,BTC-USD,[['buy', '21158.85', '0.00000000']],2023-01-17T16:36:25.269971Z
l2update,BTC-USD,[['buy', '21158.80', '0.00000000']],2023-01-17T16:36:25.270727Z
l2update,BTC-USD,[['sell', '21267.05', '0.20729275']],2023-01-17T16:36:25.270901Z
l2update,BTC-USD,[['buy', '21064.05', '0.10608964']],2023-01-17T16:36:25.270901Z
l2update,BTC-USD,[['buy', '21125.84', '0.10860488']],2023-01-17T16:36:25.270901Z
l2update,BTC-USD,[['sell', '21165.14', '0.03222586']],2023-01-17T16:36:25.275019Z
l2update,BTC-USD,[['sell', '21165.14', '0.04801157']],2023-01-17T16:36:25.275036Z
l2update,BTC-USD,[['buy', '21101.22', '0.15333015']],2023-01-17T16:36:25.276645Z
l2update,BTC-USD,[['buy', '21158.79', '0.00157131']],2023-01-17T16:36:25.279162Z
l2update,BTC-USD,[['buy', '21158.79', '0.00193797']],2023-01-17T16:36:25.284688Z
l2update,BTC-USD,[['sell', '21280.79', '0.07211680']],2023-01-17T16:36:25.290006Z
l2update,BTC-USD,[['buy', '21050.87', '0.08654016']],2023-01-17T16:36:25.290006Z
l2update,BTC-USD,[['sell', '21239.23', '0.00000000']],2023-01-17T16:36:25.294635Z
l2update,BTC-USD,[['buy', '21093.42', '0.00000000']],2023-01-17T16:36:25.294635Z
l2update,BTC-USD,[['sell', '21162.52', '0.00800000']],2023-01-17T16:36:25.294967Z
l2update,BTC-USD,[['sell', '21165.15', '0.03422546']],2023-01-17T16:36:25.299037Z
l2update,BTC-USD,[['sell', '21165.14', '0.02795025']],2023-01-17T16:36:25.299098Z
l2update,BTC-USD,[['sell', '21165.14', '0.01578571']],2023-01-17T16:36:25.299156Z
l2update,BTC-USD,[['sell', '21165.14', '0.00000000']],2023-01-17T16:36:25.299224Z
l2update,BTC-USD,[['sell', '21165.15', '0.00000000']],2023-01-17T16:36:25.299336Z
l2update,BTC-USD,[['buy', '21158.79', '0.00157131']],2023-01-17T16:36:25.301565Z
l2update,BTC-USD,[['sell', '21165.16', '0.02400579']],2023-01-17T16:36:25.304632Z
l2update,BTC-USD,[['buy', '21158.81', '0.00096898']],2023-01-17T16:36:25.304661Z
l2update,BTC-USD,[['sell', '21280.79', '0.14823898']],2023-01-17T16:36:25.304670Z
l2update,BTC-USD,[['sell', '21218.09', '0.07521196']],2023-01-17T16:36:25.304670Z
l2update,BTC-USD,[['buy', '21050.87', '0.17788677']],2023-01-17T16:36:25.304670Z
l2update,BTC-USD,[['buy', '21158.79', '0.00000000']],2023-01-17T16:36:25.307937Z
l2update,BTC-USD,[['buy', '21158.63', '0.00000000']],2023-01-17T16:36:25.307955Z
l2update,BTC-USD,[['sell', '21165.11', '0.05920368']],2023-01-17T16:36:25.308508Z
l2update,BTC-USD,[['sell', '21172.04', '0.09398603']],2023-01-17T16:36:25.308620Z
l2update,BTC-USD,[['buy', '21158.81', '0.00000000']],2023-01-17T16:36:25.309112Z
l2update,BTC-USD,[['buy', '21158.76', '0.00066782']],2023-01-17T16:36:25.312535Z
l2update,BTC-USD,[['buy', '21158.76', '0.00177863']],2023-01-17T16:36:25.316264Z
l2update,BTC-USD,[['buy', '21040.43', '0.07859796']],2023-01-17T16:36:25.316344Z
l2update,BTC-USD,[['buy', '21158.76', '0.00226312']],2023-01-17T16:36:25.320242Z
l2update,BTC-USD,[['buy', '21040.43', '0.14808884']],2023-01-17T16:36:25.332038Z
l2update,BTC-USD,[['buy', '21050.87', '0.08654016']],2023-01-17T16:36:25.353980Z
l2update,BTC-USD,[['buy', '21064.05', '0.00000000']],2023-01-17T16:36:25.353980Z
l2update,BTC-USD,[['buy', '21076.42', '0.00000000']],2023-01-17T16:36:25.353980Z
l2update,BTC-USD,[['buy', '21160.37', '0.00000000']],2023-01-17T16:36:25.358171Z
l2update,BTC-USD,[['buy', '21158.76', '0.00177863']],2023-01-17T16:36:25.358451Z
l2update,BTC-USD,[['buy', '21158.76', '0.00111081']],2023-01-17T16:36:25.358621Z
l2update,BTC-USD,[['buy', '21158.76', '0.00000000']],2023-01-17T16:36:25.358629Z
l2update,BTC-USD,[['sell', '21164.75', '0.00000000']],2023-01-17T16:36:25.360873Z
l2update,BTC-USD,[['buy', '21043.96', '0.08065635']],2023-01-17T16:36:25.361158Z
l2update,BTC-USD,[['buy', '21082.29', '0.09134661']],2023-01-17T16:36:25.361158Z
l2update,BTC-USD,[['buy', '21090.72', '0.10608964']],2023-01-17T16:36:25.361158Z
l2update,BTC-USD,[['buy', '21101.22', '0.25453326']],2023-01-17T16:36:25.361158Z
l2update,BTC-USD,[['buy', '21160.37', '0.02362747']],2023-01-17T16:36:25.361181Z
l2update,BTC-USD,[['buy', '21158.72', '0.00000000']],2023-01-17T16:36:25.362575Z
l2update,BTC-USD,[['buy', '21158.71', '0.00000000']],2023-01-17T16:36:25.362854Z
l2update,BTC-USD,[['sell', '21165.08', '0.02960184']],2023-01-17T16:36:25.364738Z
l2update,BTC-USD,[['buy', '21158.73', '0.00168296']],2023-01-17T16:36:25.364863Z
l2update,BTC-USD,[['sell', '21163.10', '0.02362747']],2023-01-17T16:36:25.364881Z
l2update,BTC-USD,[['buy', '21160.37', '0.00000000']],2023-01-17T16:36:25.366010Z
l2update,BTC-USD,[['buy', '21158.73', '0.00071841']],2023-01-17T16:36:25.367328Z
l2update,BTC-USD,[['buy', '21158.73', '0.00058015']],2023-01-17T16:36:25.367966Z
l2update,BTC-USD,[['sell', '21164.76', '0.09450997']],2023-01-17T16:36:25.368448Z
